Symbol,Name
ERBOS.IS,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.
ERCB.IS,ERCİYAS ÇELİK BORU SANAYİ A.Ş.
EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.
KIMMR.IS,ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.
ERSU.IS,ERSU MEYVE VE GIDA SANAYİ A.Ş.
ESCAR.IS,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.
ESCOM.IS,ESCORT TEKNOLOJİ YATIRIM A.Ş.
ESEN.IS,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.
ETILR.IS,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.
EUKYO.IS,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.
EUYO.IS,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.
ETYAT.IS,EURO TREND YATIRIM ORTAKLIĞI A.Ş.
EUHOL.IS,EURO YATIRIM HOLDİNG A.Ş.
TEZOL.IS,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.
EUREN.IS,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.
EUPWR.IS,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.
EYGYO.IS,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
FADE.IS,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.
FMIZP.IS,FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.
FENER.IS,FENERBAHÇE FUTBOL A.Ş.
FLAP.IS,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.
FONET.IS,FONET BİLGİ TEKNOLOJİLERİ A.Ş.
FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş.
FORMT.IS,FORMET METAL VE CAM SANAYİ A.Ş.
FORTE.IS,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.
FRIGO.IS,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.
FZLGY.IS,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
GWIND.IS,GALATA WIND ENERJİ A.Ş.
GSRAY.IS,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.
GARFA.IS,GARANTİ FAKTORİNG A.Ş.
GRNYO.IS,GARANTİ YATIRIM ORTAKLIĞI A.Ş.
GEDIK.IS,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.
GEDZA.IS,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.
GLCVY.IS,GELECEK VARLIK YÖNETİMİ A.Ş.
GENIL.IS,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
GENTS.IS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.
GEREL.IS,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.
GZNMI.IS,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.
GIPTA.IS,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.
GMTAS.IS,GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.
GESAN.IS,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.
GLBMD.IS,GLOBAL MENKUL DEĞERLER A.Ş.
GLYHO.IS,GLOBAL YATIRIM HOLDİNG A.Ş.
GOODY.IS,GOODYEAR LASTİKLERİ T.A.Ş.
GOKNR.IS,GÖKNUR GIDA MADDELERİ ENERJİ İMALAT İTHALAT İHRACAT TİCARET VE SANAYİ A.Ş.
GOLTS.IS,GÖLTAŞ GÖLLER BÖLGESİ ÇİMENTO SANAYİ VE TİCARET A.Ş.
GOZDE.IS,GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
GRTRK.IS,GRAINTURK TARIM A.Ş.
GSDDE.IS,GSD DENİZCİLİK GAYRİMENKUL İNŞAAT SANAYİ VE TİCARET A.Ş.
GSDHO.IS,GSD HOLDİNG A.Ş.
GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş.
GLRYH.IS,GÜLER YATIRIM HOLDİNG A.Ş.
GRSEL.IS,GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.
SAHOL.IS,HACI ÖMER SABANCI HOLDİNG A.Ş.
HLGYO.IS,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
HATSN.IS,HAT-SAN GEMİ İNŞAA BAKIM ONARIM DENİZ NAKLİYAT SANAYİ VE TİCARET A.Ş.
HATEK.IS,HATEKS HATAY TEKSTİL İŞLETMELERİ A.Ş.
HDFGS.IS,HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
HEDEF.IS,HEDEF HOLDİNG A.Ş.
HEKTS.IS,HEKTAŞ TİCARET T.A.Ş.
HKTM.IS,HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.
HTTBT.IS,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.
HUBVC.IS,HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
HUNER.IS,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.
HURGZ.IS,HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.
ICBCT.IS,ICBC TURKEY BANK A.Ş.
ICUGS.IS,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.
INGRM.IS,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.
INVEO.IS,INVEO YATIRIM HOLDİNG A.Ş.
INVES.IS,INVESTCO HOLDİNG A.Ş.
ISKPL.IS,IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.
IEYHO.IS,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.
IDEAS.IS,İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.
IDGYO.IS,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
IHEVA.IS,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.
IHLGM.IS,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.
IHGZT.IS,İHLAS GAZETECİLİK A.Ş.
