,Code,Name
174,DGGYO.IS,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
175,DOAS.IS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.
176,DFKTR.IS,DORUK FAKTORİNG A.Ş.
177,DOKTA.IS,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.
178,DURDO.IS,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.
179,DNYVA.IS,DÜNYA VARLIK YÖNETİM A.Ş.
180,DYOBY.IS,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.
181,EDATA.IS,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.
182,EBEBK.IS,EBEBEK MAĞAZACILIK A.Ş.
183,ECZYT.IS,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.
184,EDIP.IS,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.
185,EGEEN.IS,EGE ENDÜSTRİ VE TİCARET A.Ş.
186,EGGUB.IS,EGE GÜBRE SANAYİİ A.Ş.
187,EGPRO.IS,EGE PROFİL TİCARET VE SANAYİ A.Ş.
188,EGSER.IS,EGE SERAMİK SANAYİ VE TİCARET A.Ş.
189,EPLAS.IS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.
190,ECILC.IS,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.
191,EKIZ.IS,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.
192,EKOFA.IS,EKO FAKTORİNG A.Ş.
193,EKOS.IS,EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.
194,EKSUN.IS,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.
195,ELITE.IS,ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.
196,EMKEL.IS,EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.
197,EMNIS.IS,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.
198,EMIRV.IS,EMİR VARLIK YÖNETİM A.Ş.
199,EKTVK.IS,EMLAK KATILIM VARLIK KİRALAMA A.Ş.
200,EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
201,EMVAR.IS,EMLAK VARLIK KİRALAMA A.Ş.
202,ENJSA.IS,ENERJİSA ENERJİ A.Ş.
203,ENERY.IS,ENERYA ENERJİ A.Ş.
204,ENKAI.IS,ENKA İNŞAAT VE SANAYİ A.Ş.
205,ENSRI.IS,ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.
206,ERBOS.IS,ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.
207,ERCB.IS,ERCİYAS ÇELİK BORU SANAYİ A.Ş.
208,EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.
209,ERGLI.IS,EREĞLİ TEKSTİL TURİZM SANAYİ VE TİCARET A.Ş.
210,KIMMR.IS,ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.
211,ERSU.IS,ERSU MEYVE VE GIDA SANAYİ A.Ş.
212,ESCAR.IS,ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.
213,ESCOM.IS,ESCORT TEKNOLOJİ YATIRIM A.Ş.
214,ESEN.IS,ESENBOĞA ELEKTRİK ÜRETİM A.Ş.
215,ETILR.IS,ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.
216,EUKYO.IS,EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.
217,EUYO.IS,EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.
218,ETYAT.IS,EURO TREND YATIRIM ORTAKLIĞI A.Ş.
219,EUHOL.IS,EURO YATIRIM HOLDİNG A.Ş.
220,TEZOL.IS,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.
221,EUREN.IS,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.
222,EUPWR.IS,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.
223,EYGYO.IS,EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
224,Kod.IS,Şirket Unvanı
225,FADE.IS,FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.
226,FSDAT.IS,FASDAT GIDA DAĞITIM SANAYİ VE TİCARET A.Ş.
227,FMIZP.IS,FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.
228,FENER.IS,FENERBAHÇE FUTBOL A.Ş.
229,FIBAF.IS,FİBA FAKTORİNG A.Ş.
230,"FBB, FBBNK.IS",FİBABANKA A.Ş.
231,FLAP.IS,FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.
232,FONET.IS,FONET BİLGİ TEKNOLOJİLERİ A.Ş.
233,FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş.
234,FORMT.IS,FORMET METAL VE CAM SANAYİ A.Ş.
235,FORTE.IS,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.
236,FRIGO.IS,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.
237,FZLGY.IS,FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
238,GWIND.IS,GALATA WIND ENERJİ A.Ş.
239,GSRAY.IS,GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.
240,GAPIN.IS,GAP İNŞAAT YATIRIM VE DIŞ TİCARET A.Ş.
241,GARFA.IS,GARANTİ FAKTORİNG A.Ş.
242,GARFL.IS,GARANTİ FİLO YÖNETİM HİZMETLERİ A.Ş.
243,GRFIN.IS,GARANTİ FİNANSAL KİRALAMA A.Ş.
244,GRNYO.IS,GARANTİ YATIRIM ORTAKLIĞI A.Ş.
245,GEDIK.IS,GEDİK YATIRIM MENKUL DEĞERLER A.Ş.
246,GEDZA.IS,GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.
247,GLCVY.IS,GELECEK VARLIK YÖNETİMİ A.Ş.
248,GENIL.IS,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
249,GENTS.IS,GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.
250,GEREL.IS,GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.
251,GZNMI.IS,GEZİNOMİ SEYAHAT TURİZM TİCARET A.Ş.
