,Code,Name
635,"YAT, YFMEN.IS",YATIRIM FİNANSMAN MENKUL DEĞERLER A.Ş.
636,YATVK.IS,YATIRIM VARLIK KİRALAMA A.Ş.
637,YYLGD.IS,YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.
638,YAYLA.IS,YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.
639,YGGYO.IS,YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
640,YEOTK.IS,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.
641,YGYO.IS,YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
642,YYAPI.IS,YEŞİL YAPI ENDÜSTRİSİ A.Ş.
643,YESIL.IS,YEŞİL YATIRIM HOLDİNG A.Ş.
644,YBTAS.IS,YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.
645,YONGA.IS,YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.
646,YKSLN.IS,YÜKSELEN ÇELİK A.Ş.
647,YUNSA.IS,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.
648,ZEDUR.IS,ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.
649,ZRGYO.IS,ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
650,ZKBVK.IS,ZİRAAT KATILIM VARLIK KİRALAMA A.Ş.
651,ZKBVR.IS,ZKB VARLIK KİRALAMA A.Ş.
652,ZOREN.IS,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.
653,ZORLF.IS,ZORLU FAKTORİNG A.Ş.
