Symbol,Name,Market_id
DGNMO.IS,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,1
ARASE.IS,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,1
DOGUB.IS,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,1
DGGYO.IS,DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
DOAS.IS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,1
DOKTA.IS,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,1
DURDO.IS,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,1
DYOBY.IS,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,1
EDATA.IS,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,1
EBEBK.IS,EBEBEK MAĞAZACILIK A.Ş.,1
ECZYT.IS,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,1
EDIP.IS,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,1
EGEEN.IS,EGE ENDÜSTRİ VE TİCARET A.Ş.,1
EGGUB.IS,EGE GÜBRE SANAYİİ A.Ş.,1
EGPRO.IS,EGE PROFİL TİCARET VE SANAYİ A.Ş.,1
EGSER.IS,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,1
EPLAS.IS,EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,1
ECILC.IS,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,1
EKIZ.IS,EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,1
EKOS.IS,EKOS TEKNOLOJİ VE ELEKTRİK A.Ş.,1
EKSUN.IS,EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,1
